ola,columna,valor,total_apariciones
LAT2003,A_007_001,4.0,7605
LAT2003,A_007_001,3.0,7515
LAT2003,A_007_001,2.0,4043
LAT2003,A_007_001,1.0,1627
LAT2003,A_007_001,-2.0,248
LAT2003,A_007_001,-1.0,95
LAT2004,A_007_001,4.0,8110
LAT2004,A_007_001,3.0,6986
LAT2004,A_007_001,2.0,4688
LAT2004,A_007_001,1.0,2125
LAT2004,A_007_001,-1.0,102
LAT2004,A_007_001,-2.0,85
LAT2005,A_007_001,4.0,8393
LAT2005,A_007_001,3.0,6453
LAT2005,A_007_001,2.0,3653
LAT2005,A_007_001,1.0,1517
LAT2005,A_007_001,-1.0,131
LAT2005,A_007_001,-2.0,75
LAT2006,A_007_001,,22708
LAT2007,A_007_001,4.0,8655
LAT2007,A_007_001,3.0,6608
LAT2007,A_007_001,2.0,5240
LAT2007,A_007_001,1.0,1882
LAT2007,A_007_001,-1.0,165
LAT2007,A_007_001,-2.0,144
LAT2008,A_007_001,,22675
LAT2009,A_007_001,4.0,8216
LAT2009,A_007_001,3.0,7275
LAT2009,A_007_001,2.0,5054
LAT2009,A_007_001,1.0,1906
LAT2009,A_007_001,-1.0,150
LAT2009,A_007_001,-2.0,89
LAT2010,A_007_001,4.0,9005
LAT2010,A_007_001,3.0,7330
LAT2010,A_007_001,2.0,4469
LAT2010,A_007_001,1.0,1614
LAT2010,A_007_001,-1.0,196
LAT2010,A_007_001,-2.0,73
LAT2011,A_007_001,,20204
LAT2013,A_007_001,4.0,9066
LAT2013,A_007_001,3.0,6725
LAT2013,A_007_001,2.0,4480
LAT2013,A_007_001,1.0,2111
LAT2013,A_007_001,-1.0,152
LAT2013,A_007_001,-2.0,129
LAT2015,A_007_001,,20250
LAT2016,A_007_001,,20204
LAT2017,A_007_001,,20200
LAT2018,A_007_001,,20204
LAT2020,A_007_001,4.0,8113
LAT2020,A_007_001,3.0,6040
LAT2020,A_007_001,2.0,3733
LAT2020,A_007_001,1.0,1955
LAT2020,A_007_001,-1.0,229
LAT2020,A_007_001,-2.0,134
LAT2023,A_007_001,4.0,6695
LAT2023,A_007_001,3.0,6531
LAT2023,A_007_001,2.0,4093
LAT2023,A_007_001,1.0,1780
LAT2023,A_007_001,-1.0,69
LAT2023,A_007_001,-2.0,37
LAT2024,A_007_001,4.0,6892
LAT2024,A_007_001,3.0,6295
LAT2024,A_007_001,2.0,3921
LAT2024,A_007_001,1.0,1936
LAT2024,A_007_001,,170
LAT1995,A_007_071,5.0,1950
LAT1995,A_007_071,-1.0,1432
LAT1995,A_007_071,-2.0,955
LAT1995,A_007_071,10.0,786
LAT1995,A_007_071,6.0,652
LAT1995,A_007_071,4.0,636
LAT1995,A_007_071,8.0,546
LAT1995,A_007_071,7.0,540
LAT1995,A_007_071,3.0,500
LAT1995,A_007_071,0.0,307
LAT1995,A_007_071,2.0,297
LAT1995,A_007_071,9.0,241
LAT1995,A_007_071,1.0,223
LAT1995,A_007_071,-6.0,4
LAT1996,A_007_071,5.0,4600
LAT1996,A_007_071,-6.0,1946
LAT1996,A_007_071,6.0,1666
LAT1996,A_007_071,10.0,1550
LAT1996,A_007_071,8.0,1371
LAT1996,A_007_071,4.0,1366
LAT1996,A_007_071,3.0,1344
LAT1996,A_007_071,0.0,1308
LAT1996,A_007_071,7.0,1253
LAT1996,A_007_071,-1.0,1232
LAT1996,A_007_071,-2.0,1047
LAT1996,A_007_071,2.0,1007
LAT1996,A_007_071,9.0,926
LAT1996,A_007_071,1.0,584
LAT1997,A_007_071,5.0,5036
LAT1997,A_007_071,-6.0,1824
LAT1997,A_007_071,10.0,1528
LAT1997,A_007_071,8.0,1505
LAT1997,A_007_071,4.0,1504
LAT1997,A_007_071,7.0,1477
LAT1997,A_007_071,6.0,1440
LAT1997,A_007_071,3.0,1370
LAT1997,A_007_071,9.0,897
LAT1997,A_007_071,0.0,838
LAT1997,A_007_071,2.0,835
LAT1997,A_007_071,-1.0,802
LAT1997,A_007_071,1.0,622
LAT1997,A_007_071,-2.0,565
LAT1998,A_007_071,5.0,4769
LAT1998,A_007_071,10.0,2406
LAT1998,A_007_071,-6.0,2171
LAT1998,A_007_071,-2.0,2131
LAT1998,A_007_071,-1.0,1262
LAT1998,A_007_071,3.0,1216
LAT1998,A_007_071,8.0,1204
LAT1998,A_007_071,4.0,1107
LAT1998,A_007_071,6.0,1103
LAT1998,A_007_071,7.0,1086
LAT1998,A_007_071,2.0,761
LAT1998,A_007_071,1.0,580
LAT1998,A_007_071,9.0,535
LAT2000,A_007_071,5.0,4695
