year;variable;question
2016;H_002_011;P13STD
2017;H_002_011;P14ST_D
2018;H_002_011;P15STGBSC.D
2020;H_002_011;P13ST_D
2023;H_002_011;P13ST_D
2024;H_002_011;P14ST.D
1995;H_002_031;p27m
1996;H_002_031;p33m
1997;H_002_031;
1998;H_002_031;
2000;H_002_031;
2001;H_002_031;
2002;H_002_031;p34std
2003;H_002_031;p23stg
2004;H_002_031;p32std
2005;H_002_031;p45stc
2006;H_002_031;p32st_a
2007;H_002_031;p24st_a
2008;H_002_031;p31s_ta
2009;H_002_031;p24st_a
2010;H_002_031;P18ST_A
2011;H_002_031;P20ST_A
2013;H_002_031;P26TGB_B
2015;H_002_031;P16ST_G
2016;H_002_031;P13STE
2017;H_002_031;P14ST_E
2018;H_002_031;P15STGBSC.E
2020;H_002_031;P13ST_E
2023;H_002_031;P13ST_E
2024;H_002_031;P14ST.E
1995;H_002_041;p27d
1996;H_002_041;p33d
1997;H_002_041;sp63c
1998;H_002_041;sp38c
2000;H_002_041;P35ST_C
2001;H_002_041;p61stc
2002;H_002_041;p34stc
2003;H_002_041;p21ste
2004;H_002_041;p34stb
2005;H_002_041;p42std
2006;H_002_041;p24st_a
2007;H_002_041;p24st_d
2008;H_002_041;p28st_b
2009;H_002_041;p26st_b
2010;H_002_041;P20ST_B
2011;H_002_041;P22ST_B
2013;H_002_041;P26TGB_E
2015;H_002_041;P16ST_H
2016;H_002_041;P13STF
2017;H_002_041;P14ST_F
2018;H_002_041;P15STGBSC.F
2020;H_002_041;P13ST_F
2023;H_002_041;P13ST_F
2024;H_002_041;P14ST.F
1995;H_002_101;p27a
1996;H_002_101;p33a
1997;H_002_101;sp63a
1998;H_002_101;sp38a
2000;H_002_101;P35ST_A
2001;H_002_101;p61sta
2002;H_002_101;p34sta
2003;H_002_101;p21sta
2004;H_002_101;p32stc
2005;H_002_101;p42sta
2006;H_002_101;p32st_d
2007;H_002_101;p27st_c
2008;H_002_101;p28st_g
2009;H_002_101;p26st_g
2010;H_002_101;P20ST_G
2011;H_002_101;P22ST_G
2013;H_002_101;P28ST_E
2015;H_002_101;P16ST_E
2016;H_002_101;P13STC
2017;H_002_101;P14ST_C
2018;H_002_101;P15STGBSC.C
2020;H_002_101;P13ST_C
2023;H_002_101;P13ST_C
2024;H_002_101;P14ST.C
1995;H_002_111;p27h
1996;H_002_111;p33h
1997;H_002_111;sp63e
1998;H_002_111;sp38e
2000;H_002_111;P35ST_E
2001;H_002_111;p61ste
2002;H_002_111;p36ste
