year;variable;question;label
2003;H_002_031;p23stg;Confianza en el Gobierno
2004;H_002_031;p32std;Confianza en el Gobierno
2005;H_002_031;p45stc;Confianza en el Gobierno
2006;H_002_031;p32st_a;Confianza en el Gobierno
2007;H_002_031;p24st_a;Confianza en el Gobierno
2008;H_002_031;p31s_ta;Confianza en el Gobierno
2009;H_002_031;p24st_a;Confianza en el Gobierno
2010;H_002_031;P18ST_A;Confianza en el Gobierno
2011;H_002_031;P20ST_A;Confianza en el Gobierno
2013;H_002_031;P26TGB_B;Confianza en el Gobierno
2015;H_002_031;P16ST_G;Confianza en el Gobierno
2016;H_002_031;P13STE;Confianza en el Gobierno
2017;H_002_031;P14ST_E;Confianza en el Gobierno
2018;H_002_031;P15STGBSC.E;Confianza en el Gobierno
2020;H_002_031;P13ST_E;Confianza en el Gobierno
2023;H_002_031;P13ST_E;Confianza en el Gobierno
2024;H_002_031;P14ST.E;Confianza en el Gobierno
1995;H_002_041;p27d;Confianza en el Poder Judicial
1996;H_002_041;p33d;Confianza en el Poder Judicial
1997;H_002_041;sp63c;Confianza en el Poder Judicial
1998;H_002_041;sp38c;Confianza en el Poder Judicial
2000;H_002_041;P35ST_C;Confianza en el Poder Judicial
2001;H_002_041;p61stc;Confianza en el Poder Judicial
2002;H_002_041;p34stc;Confianza en el Poder Judicial
2003;H_002_041;p21ste;Confianza en el Poder Judicial
2004;H_002_041;p34stb;Confianza en el Poder Judicial
2005;H_002_041;p42std;Confianza en el Poder Judicial
2006;H_002_041;p24st_a;Confianza en el Poder Judicial
2007;H_002_041;p24st_d;Confianza en el Poder Judicial
2008;H_002_041;p28st_b;Confianza en el Poder Judicial
2009;H_002_041;p26st_b;Confianza en el Poder Judicial
2010;H_002_041;P20ST_B;Confianza en el Poder Judicial
2011;H_002_041;P22ST_B;Confianza en el Poder Judicial
2013;H_002_041;P26TGB_E;Confianza en el Poder Judicial
2015;H_002_041;P16ST_H;Confianza en el Poder Judicial
2016;H_002_041;P13STF;Confianza en el Poder Judicial
2017;H_002_041;P14ST_F;Confianza en el Poder Judicial
2018;H_002_041;P15STGBSC.F;Confianza en el Poder Judicial
2020;H_002_041;P13ST_F;Confianza en el Poder Judicial
2023;H_002_041;P13ST_F;Confianza en el Poder Judicial
2024;H_002_041;P14ST.F;Confianza en el Poder Judicial
1995;H_002_101;p27a;Confianza en la Iglesia
1996;H_002_101;p33a;Confianza en la Iglesia
1997;H_002_101;sp63a;Confianza en la Iglesia
1998;H_002_101;sp38a;Confianza en la Iglesia
2000;H_002_101;P35ST_A;Confianza en la Iglesia
2001;H_002_101;p61sta;Confianza en la Iglesia
2002;H_002_101;p34sta;Confianza en la Iglesia
2003;H_002_101;p21sta;Confianza en la Iglesia
2004;H_002_101;p32stc;Confianza en la Iglesia
2005;H_002_101;p42sta;Confianza en la Iglesia
2006;H_002_101;p32st_d;Confianza en la Iglesia
2007;H_002_101;p27st_c;Confianza en la Iglesia
2008;H_002_101;p28st_g;Confianza en la Iglesia
2009;H_002_101;p26st_g;Confianza en la Iglesia
2010;H_002_101;P20ST_G;Confianza en la Iglesia
2011;H_002_101;P22ST_G;Confianza en la Iglesia
2013;H_002_101;P28ST_E;Confianza en la Iglesia
2015;H_002_101;P16ST_E;Confianza en la Iglesia
2016;H_002_101;P13STC;Confianza en la Iglesia
2017;H_002_101;P14ST_C;Confianza en la Iglesia
2018;H_002_101;P15STGBSC.C;Confianza en la Iglesia
2020;H_002_101;P13ST_C;Confianza en la Iglesia
2023;H_002_101;P13ST_C;Confianza en la Iglesia
2024;H_002_101;P14ST.C;Confianza en la Iglesia
1995;H_002_111;p27h;Confianza en la Policía 
1996;H_002_111;p33h;Confianza en la Policía 
1997;H_002_111;sp63e;Confianza en la Policía 
1998;H_002_111;sp38e;Confianza en la Policía 
2000;H_002_111;P35ST_E;Confianza en la Policía 
2001;H_002_111;p61ste;Confianza en la Policía 
2002;H_002_111;p36ste;Confianza en la Policía 
2003;H_002_111;p21stb;Confianza en la Policía 
2004;H_002_111;p32stb;Confianza en la Policía 
2005;H_002_111;p42stf;Confianza en la Policía 
2006;H_002_111;p24st_d;Confianza en la Policía 
2007;H_002_111;p27st_f;Confianza en la Policía 
2008;H_002_111;p31st_c;Confianza en la Policía 
2009;H_002_111;p24st_c;Confianza en la Policía 
2010;H_002_111;P18ST_C;Confianza en la Policía 
2011;H_002_111;P20ST_C;Confianza en la Policía 
2013;H_002_111;P28TGB_B;Confianza en la Policía 
2015;H_002_111;P16TGB_B;Confianza en la Policía 
2016;H_002_111;P13STGBSB;Confianza en la Policía 
2017;H_002_111;P14STGBS_B;Confianza en la Policía 
2018;H_002_111;P15STGBSC.B;Confianza en la Policía 
2020;H_002_111;P13STGBS_B;Confianza en la Policía 
2023;H_002_111;P13STGBS_B;Confianza en la Policía 
2024;H_002_111;P14STGBS.B;Confianza en la Policía 
1995;H_002_131;p27l;Confianza en la Televisión
1996;H_002_131;p33l;Confianza en la Televisión
1997;H_002_131;sp63h;Confianza en la Televisión
1998;H_002_131;sp38h;Confianza en la Televisión
2000;H_002_131;P35ST_H;Confianza en la Televisión
2001;H_002_131;p63sta;Confianza en la Televisión
2002;H_002_131;p36sta;Confianza en la Televisión
2003;H_002_131;p21stc;Confianza en la Televisión
2004;H_002_131;p32stf;Confianza en la Televisión
2005;H_002_131;p45stb;Confianza en la Televisión
2006;H_002_131;p35st_c;Confianza en la Televisión
2007;H_002_131;p24st_i;Confianza en la Televisión
2008;H_002_131;p31st_e;Confianza en la Televisión
2009;H_002_131;p24st_e;Confianza en la Televisión
2010;H_002_131;P18ST_E;Confianza en la Televisión
2011;H_002_131;P20ST_E;Confianza en la Televisión
2013;H_002_131;P28TGB_D;Confianza en la Televisión
2015;H_002_131;P16TGB_D;Confianza en la Televisión
2016;H_002_131;;Confianza en la Televisión
2017;H_002_131;;Confianza en la Televisión
2018;H_002_131;;Confianza en la Televisión
2020;H_002_131;;Confianza en la Televisión
2023;H_002_131;;Confianza en la Televisión
2024;H_002_131;P14ST.K;Confianza en la Televisión
1995;H_002_161;p27b;Confianza en las Fuerzas Armadas
1996;H_002_161;p33b;Confianza en las Fuerzas Armadas
1997;H_002_161;sp63b;Confianza en las Fuerzas Armadas
1998;H_002_161;sp38b;Confianza en las Fuerzas Armadas
2000;H_002_161;P35ST_B;Confianza en las Fuerzas Armadas
2001;H_002_161;p61stb;Confianza en las Fuerzas Armadas
2002;H_002_161;p36stb;Confianza en las Fuerzas Armadas
2003;H_002_161;p21stg;Confianza en las Fuerzas Armadas
2004;H_002_161;p32stg;Confianza en las Fuerzas Armadas
2005;H_002_161;p42stb;Confianza en las Fuerzas Armadas
2006;H_002_161;p32st_e;Confianza en las Fuerzas Armadas
2007;H_002_161;p27st_d;Confianza en las Fuerzas Armadas
2008;H_002_161;p28st_d;Confianza en las Fuerzas Armadas
2009;H_002_161;p26st_d;Confianza en las Fuerzas Armadas
2010;H_002_161;P20ST_D;Confianza en las Fuerzas Armadas
2011;H_002_161;P22ST_D;Confianza en las Fuerzas Armadas
2013;H_002_161;P28TGB_A;Confianza en las Fuerzas Armadas
2015;H_002_161;P16TGB_A;Confianza en las Fuerzas Armadas
2016;H_002_161;P13STGBSA;Confianza en las Fuerzas Armadas
2017;H_002_161;P14STGBS_A;Confianza en las Fuerzas Armadas
2018;H_002_161;P15STGBSC.A;Confianza en las Fuerzas Armadas
2020;H_002_161;P13STGBS_A;Confianza en las Fuerzas Armadas
2023;H_002_161;P13STGBS_A;Confianza en las Fuerzas Armadas
2024;H_002_161;P14STGBS.A;Confianza en las Fuerzas Armadas
1995;H_002_241;p27j;Confianza en los Partidos Políticos
1996;H_002_241;p33j;Confianza en los Partidos Políticos
1997;H_002_241;sp63g;Confianza en los Partidos Políticos
1998;H_002_241;sp38g;Confianza en los Partidos Políticos
2000;H_002_241;P35ST_G;Confianza en los Partidos Políticos
2001;H_002_241;p61stg;Confianza en los Partidos Políticos
2002;H_002_241;p34stf;Confianza en los Partidos Políticos
2003;H_002_241;p21std;Confianza en los Partidos Políticos
2004;H_002_241;p34std;Confianza en los Partidos Políticos
2005;H_002_241;p47stb;Confianza en los Partidos Políticos
2006;H_002_241;p24st_c;Confianza en los Partidos Políticos
2007;H_002_241;p27st_e;Confianza en los Partidos Políticos
2008;H_002_241;p28st_c;Confianza en los Partidos Políticos
2009;H_002_241;p26st_c;Confianza en los Partidos Políticos
2010;H_002_241;P20ST_C;Confianza en los Partidos Políticos
2011;H_002_241;P22ST_C;Confianza en los Partidos Políticos
2013;H_002_241;P26TGB_G;Confianza en los Partidos Políticos
2015;H_002_241;P19ST_C;Confianza en los Partidos Políticos
2016;H_002_241;P13STG;Confianza en los Partidos Políticos
2017;H_002_241;P14ST_G;Confianza en los Partidos Políticos
2018;H_002_241;P15STGBSC.G;Confianza en los Partidos Políticos
2020;H_002_241;P13ST_G;Confianza en los Partidos Políticos
2023;H_002_241;P13ST_G;Confianza en los Partidos Políticos
2024;H_002_241;P14ST.G;Confianza en los Partidos Políticos
1995;I_001_001;p17;Usted o su familia han sido víctimas de un delito en los últimos doce meses
1996;I_001_001;p16;Usted o su familia han sido víctimas de un delito en los últimos doce meses
1997;I_001_001;sp24;Usted o su familia han sido víctimas de un delito en los últimos doce meses
1998;I_001_001;sp22;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2000;I_001_001;;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2001;I_001_001;p18na;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2002;I_001_001;p8sta;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2003;I_001_001;p75sta;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2004;I_001_001;p51sta;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2005;I_001_001;p82sta;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2006;I_001_001;p68st_a;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2007;I_001_001;p71st_a;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2008;I_001_001;p72st_a;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2009;I_001_001;p73stm_a;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2010;I_001_001;P70ST_A;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2011;I_001_001;P80ST_A;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2013;I_001_001;P68ST_A;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2015;I_001_001;P60ST;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2016;I_001_001;P37ST;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2017;I_001_001;P65ST_B;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2018;I_001_001;P69ST.2;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2020;I_001_001;P64ST;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2023;I_001_001;P58ST;Usted o su familia han sido víctimas de un delito en los últimos doce meses
2024;I_001_001;P50ST.A;Usted o su familia han sido víctimas de un delito en los últimos doce meses
1995;S_001;s1;Sexo entrevistado
1996;S_001;s1;Sexo entrevistado
1997;S_001;s1;Sexo entrevistado
1998;S_001;s1;Sexo entrevistado
2000;S_001;S1;Sexo entrevistado
2001;S_001;s1;Sexo entrevistado
2002;S_001;s1;Sexo entrevistado
2003;S_001;s1;Sexo entrevistado
2004;S_001;s1;Sexo entrevistado
2005;S_001;s6;Sexo entrevistado
2006;S_001;s6;Sexo entrevistado
2007;S_001;s10;Sexo entrevistado
2008;S_001;s8;Sexo entrevistado
2009;S_001;s5;Sexo entrevistado
2010;S_001;S7;Sexo entrevistado
2011;S_001;S16;Sexo entrevistado
2013;S_001;S10;Sexo entrevistado
2015;S_001;S12;Sexo entrevistado
2016;S_001;SEXO;Sexo entrevistado
2017;S_001;SEXO;Sexo entrevistado
2018;S_001;SEXO;Sexo entrevistado
2020;S_001;SEXO;Sexo entrevistado
2023;S_001;SEXO;Sexo entrevistado
2024;S_001;SEXO;Sexo entrevistado
1995;S_002;s2;Edad
1996;S_002;s2;Edad
1997;S_002;s2;Edad
1998;S_002;s2;Edad
2000;S_002;S2;Edad
2001;S_002;s2;Edad
2002;S_002;s2;Edad
2003;S_002;s2;Edad
2004;S_002;s2;Edad
2005;S_002;s7;Edad
2006;S_002;s7;Edad
2007;S_002;s11;Edad
2008;S_002;s9;Edad
2009;S_002;s6;Edad
2010;S_002;S8;Edad
2011;S_002;S17;Edad
2013;S_002;S11;Edad
2015;S_002;S13;Edad
2016;S_002;EDAD;Edad
2017;S_002;EDAD;Edad
2018;S_002;EDAD;Edad
2020;S_002;EDAD;Edad
2023;S_002;EDAD;Edad
2024;S_002;EDAD;Edad
1995;S_101;s20;Nivel de estudios alcanzado - Entrevistado (recodificado)
1996;S_101;s16a;Nivel de estudios alcanzado - Entrevistado (recodificado)
1997;S_101;s12a;Nivel de estudios alcanzado - Entrevistado (recodificado)
1998;S_101;s14a;Nivel de estudios alcanzado - Entrevistado (recodificado)
2000;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2001;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2002;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2003;S_101;s18;Nivel de estudios alcanzado - Entrevistado (recodificado)
2004;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2005;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2006;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2007;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2008;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2009;S_101;reeduc1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2010;S_101;REEDUC1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2011;S_101;REEDUC1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2013;S_101;REEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2015;S_101;REEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2016;S_101;REEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2017;S_101;REEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2018;S_101;;Nivel de estudios alcanzado - Entrevistado (recodificado)
2020;S_101;REEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2023;S_101;REEEDUC_1;Nivel de estudios alcanzado - Entrevistado (recodificado)
2024;S_101;REEDUC.1;Nivel de estudios alcanzado - Entrevistado (recodificado)
1995;S_200;s10;Estado ocupacional
1996;S_200;s7a;Estado ocupacional
1997;S_200;s7a;Estado ocupacional
1998;S_200;s7a;Estado ocupacional
2000;S_200;S8A;Estado ocupacional
2001;S_200;s8a;Estado ocupacional
2002;S_200;s8a;Estado ocupacional
2003;S_200;s8a;Estado ocupacional
2004;S_200;s8a;Estado ocupacional
2005;S_200;s13a;Estado ocupacional
2006;S_200;s13a;Estado ocupacional
2007;S_200;s17a;Estado ocupacional
2008;S_200;s17a;Estado ocupacional
2009;S_200;s14a;Estado ocupacional
2010;S_200;S16A;Estado ocupacional
2011;S_200;S23A;Estado ocupacional
2013;S_200;S19_A;Estado ocupacional
2015;S_200;S21_A;Estado ocupacional
2016;S_200;S18A;Estado ocupacional
2017;S_200;S18_A;Estado ocupacional
2018;S_200;S14A;Estado ocupacional
2020;S_200;S24_A;Estado ocupacional
2023;S_200;S18_A;Estado ocupacional
2024;S_200;S18.A;Estado ocupacional
1995;S_301;s24;Apreciación nivel socioeconómico (realizado por el encuestador) 
1996;S_301;s20;Apreciación nivel socioeconómico (realizado por el encuestador) 
1997;S_301;s16;Apreciación nivel socioeconómico (realizado por el encuestador) 
1998;S_301;s18;Apreciación nivel socioeconómico (realizado por el encuestador) 
2000;S_301;S16;Apreciación nivel socioeconómico (realizado por el encuestador) 
2001;S_301;s16a;Apreciación nivel socioeconómico (realizado por el encuestador) 
2002;S_301;s20;Apreciación nivel socioeconómico (realizado por el encuestador) 
2003;S_301;s16;Apreciación nivel socioeconómico (realizado por el encuestador) 
2004;S_301;s18;Apreciación nivel socioeconómico (realizado por el encuestador) 
2005;S_301;s24;Apreciación nivel socioeconómico (realizado por el encuestador) 
2006;S_301;s24;Apreciación nivel socioeconómico (realizado por el encuestador) 
2007;S_301;s28;Apreciación nivel socioeconómico (realizado por el encuestador) 
2008;S_301;s26;Apreciación nivel socioeconómico (realizado por el encuestador) 
2009;S_301;s26;Apreciación nivel socioeconómico (realizado por el encuestador) 
2010;S_301;S28;Apreciación nivel socioeconómico (realizado por el encuestador) 
2011;S_301;S34;Apreciación nivel socioeconómico (realizado por el encuestador) 
2013;S_301;S27;Apreciación nivel socioeconómico (realizado por el encuestador) 
2015;S_301;S29;Apreciación nivel socioeconómico (realizado por el encuestador) 
2016;S_301;S22;Apreciación nivel socioeconómico (realizado por el encuestador) 
2017;S_301;S22;Apreciación nivel socioeconómico (realizado por el encuestador) 
2018;S_301;S26;Apreciación nivel socioeconómico (realizado por el encuestador) 
2020;S_301;S30;Apreciación nivel socioeconómico (realizado por el encuestador) 
2023;S_301;S24;Apreciación nivel socioeconómico (realizado por el encuestador) 
2024;S_301;S24;Apreciación nivel socioeconómico (realizado por el encuestador) 
1995;S_700;p9;Religión
1996;S_700;p7;Religión
1997;S_700;sp85;Religión
1998;S_700;sp80;Religión
2000;S_700;P76ST;Religión
2001;S_700;p86st;Religión
2002;S_700;p65st;Religión
2003;S_700;p91st;Religión
2004;S_700;p90st;Religión
2005;S_700;s2;Religión
2006;S_700;s2;Religión
2007;S_700;s4;Religión
2008;S_700;s5;Religión
2009;S_700;s7;Religión
2010;S_700;S9;Religión
2011;S_700;S18;Religión
2013;S_700;S14;Religión
2015;S_700;S16;Religión
2016;S_700;S8;Religión
2017;S_700;S9;Religión
2018;S_700;S5;Religión
2020;S_700;S10;Religión
2023;S_700;S1;Religión
2024;S_700;S1;Religión
1995;S_701;p10;Práctica religiosa
1996;S_701;p8;Práctica religiosa
1997;S_701;;Práctica religiosa
1998;S_701;sp81;Práctica religiosa
2000;S_701;P77ST;Práctica religiosa
2001;S_701;p87st;Práctica religiosa
2002;S_701;p66st;Práctica religiosa
2003;S_701;p92st;Práctica religiosa
2004;S_701;p91st;Práctica religiosa
2005;S_701;s3;Práctica religiosa
2006;S_701;s3;Práctica religiosa
2007;S_701;s5;Práctica religiosa
2008;S_701;s6;Práctica religiosa
2009;S_701;s8;Práctica religiosa
2010;S_701;S10;Práctica religiosa
2011;S_701;S18_A;Práctica religiosa
2013;S_701;S14_A;Práctica religiosa
2015;S_701;S16_A;Práctica religiosa
2016;S_701;S8A;Práctica religiosa
2017;S_701;S9_A;Práctica religiosa
2018;S_701;S5A;Práctica religiosa
2020;S_701;S11_A;Práctica religiosa
2023;S_701;S1A;Práctica religiosa
2024;S_701;S1A;Práctica religiosa
1995;X_001;pais;País 
1996;X_001;pais;País 
1997;X_001;idenpa;País 
1998;X_001;idenpa;País 
2000;X_001;IDENPA;País 
2001;X_001;idenpa;País 
2002;X_001;idenpa;País 
2003;X_001;idenpa;País 
2004;X_001;idenpa;País 
2005;X_001;IDENPA;País 
2006;X_001;idenpa;País 
2007;X_001;idenpa;País 
2008;X_001;idenpa;País 
2009;X_001;idenpa;País 
2010;X_001;IDENPA;País 
2011;X_001;IDENPA;País 
2013;X_001;IDENPA;País 
2015;X_001;IDENPA;País 
2016;X_001;IDENPA;País 
2017;X_001;IDENPA;País 
2018;X_001;IDENPA;País 
2020;X_001;IDENPA;País 
2023;X_001;IDENPA;País 
2024;X_001;IDENPA;País 
1995;X_002;numero;Año de investigación
1996;X_002;numero;Año de investigación
1997;X_002;numinves;Año de investigación
1998;X_002;numinves;Año de investigación
2000;X_002;NUMINVES;Año de investigación
2001;X_002;numinves;Año de investigación
2002;X_002;numinves;Año de investigación
2003;X_002;numinves;Año de investigación
2004;X_002;numinves;Año de investigación
2005;X_002;numinves;Año de investigación
2006;X_002;numinves;Año de investigación
2007;X_002;numinves;Año de investigación
2008;X_002;numinves;Año de investigación
2009;X_002;numinves;Año de investigación
2010;X_002;NUMINVES;Año de investigación
2011;X_002;NUMINVES;Año de investigación
2013;X_002;NUMINVES;Año de investigación
2015;X_002;NUMINVES;Año de investigación
2016;X_002;NUMINVES;Año de investigación
2017;X_002;NUMINVES;Año de investigación
2018;X_002;NUMINVES;Año de investigación
2020;X_002;NUMINVES;Año de investigación
2023;X_002;NUMINVES;Año de investigación
2024;X_002;NUMINVES;Año de investigación
1995;X_004;region;Región/Área geográfica
1996;X_004;region;Región/Área geográfica
1997;X_004;reg;Región/Área geográfica
1998;X_004;reg;Región/Área geográfica
2000;X_004;REG;Región/Área geográfica
2001;X_004;reg;Región/Área geográfica
2002;X_004;reg;Región/Área geográfica
2003;X_004;reg;Región/Área geográfica
2004;X_004;reg;Región/Área geográfica
2005;X_004;reg;Región/Área geográfica
2006;X_004;reg;Región/Área geográfica
2007;X_004;reg;Región/Área geográfica
2008;X_004;reg;Región/Área geográfica
2009;X_004;reg;Región/Área geográfica
2010;X_004;REG;Región/Área geográfica
2011;X_004;REG;Región/Área geográfica
2013;X_004;REG;Región/Área geográfica
2015;X_004;REG;Región/Área geográfica
2016;X_004;REG;Región/Área geográfica
2017;X_004;REG;Región/Área geográfica
2018;X_004;REG;Región/Área geográfica
2020;X_004;REG;Región/Área geográfica
2023;X_004;REG;Región/Área geográfica
2024;X_004;REG;Región/Área geográfica
1995;X_008;;Tamaño ciudad
1996;X_008;;Tamaño ciudad
1997;X_008;;Tamaño ciudad
1998;X_008;;Tamaño ciudad
2000;X_008;;Tamaño ciudad
2001;X_008;tamciud;Tamaño ciudad
2002;X_008;tamciud;Tamaño ciudad
2003;X_008;tamciud;Tamaño ciudad
2004;X_008;tamciud;Tamaño ciudad
2005;X_008;tamciud;Tamaño ciudad
2006;X_008;tamciud;Tamaño ciudad
2007;X_008;tamciud;Tamaño ciudad
2008;X_008;tamciud;Tamaño ciudad
2009;X_008;tamciud;Tamaño ciudad
2010;X_008;TAMCIUD;Tamaño ciudad
2011;X_008;TAMCIUD;Tamaño ciudad
2013;X_008;TAMCIUD;Tamaño ciudad
2015;X_008;TAMCIUD;Tamaño ciudad
2016;X_008;TAMCIUD;Tamaño ciudad
2017;X_008;TAMCIUD;Tamaño ciudad
2018;X_008;TAMCIUD;Tamaño ciudad
2020;X_008;TAMCIUD;Tamaño ciudad
2023;X_008;TAMCIUD;Tamaño ciudad
2024;X_008;TAMCIUD;Tamaño ciudad
1995;X_020;wt;Ponderación
1996;X_020;wt;Ponderación
1997;X_020;wt;Ponderación
1998;X_020;pondera;Ponderación
2000;X_020;WT;Ponderación
2001;X_020;wt;Ponderación
2002;X_020;wt;Ponderación
2003;X_020;wt;Ponderación
2004;X_020;wt;Ponderación
2005;X_020;wt;Ponderación
2006;X_020;wt;Ponderación
2007;X_020;wt;Ponderación
2008;X_020;wt;Ponderación
2009;X_020;wt;Ponderación
2010;X_020;wt;Ponderación
2011;X_020;WT;Ponderación
2013;X_020;WT;Ponderación
2015;X_020;WT;Ponderación
2016;X_020;WT;Ponderación
2017;X_020;WT;Ponderación
2018;X_020;WT;Ponderación
2020;X_020;WT;Ponderación
2023;X_020;WT;Ponderación
2024;X_020;WT;Ponderación
