year;variable;question;label
2005;D_001_021;p3st;Situación económica del país comparada con pasada
2006;D_001_021;p3st;Situación económica del país comparada con pasada
2007;D_001_021;;Situación económica del país comparada con pasada
2008;D_001_021;p5st;Situación económica del país comparada con pasada
2009;D_001_021;p4st;Situación económica del país comparada con pasada
2010;D_001_021;P4ST;Situación económica del país comparada con pasada
2011;D_001_021;P4ST;Situación económica del país comparada con pasada
2013;D_001_021;P4STGBS;Situación económica del país comparada con pasada
2015;D_001_021;P4STGBS;Situación económica del país comparada con pasada
2016;D_001_021;P5STGBS;Situación económica del país comparada con pasada
2017;D_001_021;P5STGBS;Situación económica del país comparada con pasada
2018;D_001_021;P7STGBSC;Situación económica del país comparada con pasada
2020;D_001_021;P5STGBS;Situación económica del país comparada con pasada
2023;D_001_021;P6STGBS;Situación económica del país comparada con pasada
2024;D_001_021;P7STGBS;Situación económica del país comparada con pasada
1995;D_001_041;;Situación económica futura del país comparada con actual
1996;D_001_041;;Situación económica futura del país comparada con actual
1997;D_001_041;;Situación económica futura del país comparada con actual
1998;D_001_041;;Situación económica futura del país comparada con actual
2000;D_001_041;;Situación económica futura del país comparada con actual
2001;D_001_041;p3st;Situación económica futura del país comparada con actual
2002;D_001_041;p2stc;Situación económica futura del país comparada con actual
2003;D_001_041;p3st;Situación económica futura del país comparada con actual
2004;D_001_041;p4st;Situación económica futura del país comparada con actual
2005;D_001_041;p4st;Situación económica futura del país comparada con actual
2006;D_001_041;p4st;Situación económica futura del país comparada con actual
2007;D_001_041;p2st;Situación económica futura del país comparada con actual
2008;D_001_041;p6st;Situación económica futura del país comparada con actual
2009;D_001_041;p5st;Situación económica futura del país comparada con actual
2010;D_001_041;P5ST_A;Situación económica futura del país comparada con actual
2011;D_001_041;P5STIC1A;Situación económica futura del país comparada con actual
2013;D_001_041;;Situación económica futura del país comparada con actual
2015;D_001_041;P5STICC1;Situación económica futura del país comparada con actual
2016;D_001_041;P6STICC1;Situación económica futura del país comparada con actual
2017;D_001_041;P6STICC1;Situación económica futura del país comparada con actual
2018;D_001_041;P8STIC;Situación económica futura del país comparada con actual
2020;D_001_041;P6ST;Situación económica futura del país comparada con actual
2023;D_001_041;P7ST;Situación económica futura del país comparada con actual
2024;D_001_041;P8ST;Situación económica futura del país comparada con actual
1995;D_001_061;p4;Situación económica personal actual
1996;D_001_061;p4;Situación económica personal actual
1997;D_001_061;sp4;Situación económica personal actual
1998;D_001_061;sp4;Situación económica personal actual
2000;D_001_061;P4ST;Situación económica personal actual
2001;D_001_061;p4st;Situación económica personal actual
2002;D_001_061;p2std;Situación económica personal actual
2003;D_001_061;p4st;Situación económica personal actual
2004;D_001_061;p5st;Situación económica personal actual
2005;D_001_061;p5st;Situación económica personal actual
2006;D_001_061;p5st;Situación económica personal actual
2007;D_001_061;;Situación económica personal actual
2008;D_001_061;p7st;Situación económica personal actual
