modelo,estrategia_balanceo,variante_target,split,modo_ejecucion,ponderado,accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa_lineal,kappa_cuadratico,mae_ordinal,auroc_macro
CatBoost,pesos_clase,ordinal_4clases,test,real,False,0.48819974917341236,0.5057309382528634,0.4770576881419937,0.48202126370538456,0.42425757311969836,0.5372922765609653,0.6406054041728423,0.7658394486381865
XGBoost,pesos_clase,ordinal_4clases,test,real,False,0.4904514878577129,0.5083920076474151,0.47925058320694247,0.4835158010473694,0.4245666531117124,0.5340116583243106,0.6414604948124502,0.7688337975276363
LightGBM,pesos_clase,ordinal_4clases,test,real,False,0.49085053015619656,0.5115370477185919,0.4798449625996538,0.4840254727708687,0.4244379711619376,0.5319609574184154,0.646277505415574,0.7672058692610138
OLO,pesos_clase,ordinal_4clases,test,real,False,0.41514650552958615,0.4589816414697294,0.39267141996747856,0.39253897530580933,0.38541421690179944,0.5277900220097851,0.7467506555694904,0.7133445233326798
CatBoost,pesos_clase,ordinal_4clases,val,real,False,0.4785992217898833,0.4741382817811777,0.4475944553758268,0.47388000447259054,0.3783268092365387,0.48291918006186785,0.6645565944596086,0.745415864250072
XGBoost,pesos_clase,ordinal_4clases,val,real,False,0.4760439049886753,0.4788096563526058,0.44771693875132124,0.46762518713676304,0.3772810581431477,0.47989433854609675,0.6725129217724607,0.7470616715692151
LightGBM,pesos_clase,ordinal_4clases,val,real,False,0.4747662465880713,0.47941141759577843,0.44643221628035923,0.4664564436248157,0.37673218995991264,0.4795636264168177,0.6768105000290376,0.7469087473616483
TabNet,pesos_clase,ordinal_4clases,val,real,False,0.4675648992392125,0.4696620718688912,0.4335337737630358,0.4589566316642272,0.37160189632299534,0.47829150186272784,0.6879028979615541,0.7378490271476246
OLO,pesos_clase,ordinal_4clases,val,real,False,0.41645856321505315,0.43348861985277,0.378427591672287,0.39743568008882113,0.3436550580660155,0.4772446053544215,0.7516115918462164,0.7010675607969483
TabNet,sin_balanceo,ordinal_4clases,test,real,False,0.5190685212632539,0.45150498176313286,0.4653423436943561,0.5083817894303378,0.3983765538548938,0.5177572263863031,0.5538707102952913,0.764768267731325
LightGBM,sin_balanceo,ordinal_4clases,test,real,False,0.5272773914034887,0.44614628267162154,0.4646354034367729,0.5103061710050528,0.38954769246698917,0.5050318279879535,0.5438091437692395,0.7697003247869032
CatBoost,sin_balanceo,ordinal_4clases,test,real,False,0.5253391859537111,0.44038112491839027,0.4544647530130014,0.5065856679595022,0.38807576154183443,0.5049428463094688,0.5420704594687037,0.7674068583521874
XGBoost,sin_balanceo,ordinal_4clases,test,real,False,0.5281324820430966,0.4450973056146034,0.4628804861291378,0.5107578758000924,0.3887873828305868,0.5010191493879517,0.54494926462205,0.7683014706159373
TabNet,sin_balanceo,ordinal_4clases,val,real,False,0.5242464719205528,0.42885184393343934,0.44150080181427653,0.5095327827040692,0.362462880940284,0.46921325833603056,0.5521807305883036,0.7453316016135604
CatBoost,sin_balanceo,ordinal_4clases,val,real,False,0.5256402810848482,0.41922199579784447,0.43247278434406955,0.5045250044076506,0.35112851495092645,0.458153706071578,0.5457924385852837,0.7483735982677169
OLO,sin_balanceo,ordinal_4clases,test,real,False,0.5009976057462091,0.3962125120830735,0.40212737564900564,0.4635737258183584,0.33319754799734014,0.4578467109508395,0.5600558659217877,0.7449912408288575
LightGBM,sin_balanceo,ordinal_4clases,val,real,False,0.5285440501771299,0.42497308365595765,0.43926924603059614,0.5097278878742515,0.35543245308316007,0.45779409611783994,0.5477670015680353,0.7481123601412908
XGBoost,sin_balanceo,ordinal_4clases,val,real,False,0.5307509146872641,0.42639682172856486,0.44111218031173804,0.5118510635097024,0.3572616262138957,0.457750140675254,0.5460247401126662,0.7483181722934575
OLO,sin_balanceo,ordinal_4clases,val,real,False,0.5004355653638423,0.3702933821657085,0.36855724591338795,0.45228389893317483,0.28225967472338986,0.3932811782731619,0.5616470178291423,0.72727954871873
CatBoost,smotenc,ordinal_4clases,test,real,False,0.515790673811424,0.4676487329469784,0.47818160869660686,0.5104072764313612,0.4133583346846528,0.5385619716707954,0.5688347964884277,0.7581889731199262
OLO,smotenc,ordinal_4clases,test,real,False,0.4197924980047885,0.4590145621030882,0.397720410210772,0.3998756088275868,0.38799957874875246,0.5307696582027805,0.7362615437236347,0.7143259187643236
TabNet,smotenc,ordinal_4clases,test,real,False,0.46274655113442026,0.4748020845571177,0.4468374079409007,0.4547413541626924,0.3973474444873917,0.5207785762571051,0.6717877094972067,0.7410476201419929
XGBoost,smotenc,ordinal_4clases,test,real,False,0.5219473264166001,0.4607902028803703,0.4753080721360638,0.5109632297425728,0.39876603704102964,0.5149924351500335,0.5681222209554213,0.7589661768504778
LightGBM,smotenc,ordinal_4clases,test,real,False,0.5171873218561167,0.45088976671413716,0.46349301051903724,0.5061339203831451,0.3908803272278122,0.5051458972017911,0.5603979021776309,0.759717823417545
CatBoost,smotenc,ordinal_4clases,val,real,False,0.51164411406005,0.44067607507063494,0.4510783135262898,0.5039737051790291,0.3673184769771618,0.4839513711529595,0.5816249491840408,0.7363412962867569
OLO,smotenc,ordinal_4clases,val,real,False,0.41936233230733494,0.43222818785510364,0.38180058473709605,0.40242229824911013,0.3449194935158906,0.48035241744239776,0.7416226261687671,0.7012423615161755
TabNet,smotenc,ordinal_4clases,val,real,False,0.4721528544050177,0.4468573894949187,0.43632187222072816,0.4686490312402782,0.35870968832070493,0.47658214678951505,0.6528253673267902,0.7230526095148581
XGBoost,smotenc,ordinal_4clases,val,real,False,0.5200650444276671,0.4345720946077748,0.44968511105452136,0.5063078843381044,0.35669402948372175,0.46406451463408016,0.5741332249259539,0.7373173876961762
LightGBM,smotenc,ordinal_4clases,val,real,False,0.5177420291538417,0.42265990729610714,0.4372356211122278,0.5010177754752507,0.3494497519862797,0.459886080322934,0.5592659271734711,0.7395023850701288
